evidence_origin,url,source_type,pain_category,short_evidence,why_relevant,usable_in_report,strength_score
crawler,https://www.tradingview.com/pine-script-docs/concepts/repainting/,official_doc,repainting_or_lookahead,Concepts / Repainting Version Version 6 Version 5 Version 4 Version 3 Theme Dark Light Auto Welcome to Pine Script® v6 Pine Script® primer First steps First indicator Next steps Language Execution model Type system Script structure Identifiers Declaration statements Variable declarations Operators Conditional structures Loops Built-ins User-defined,Automated crawler found keyword evidence for repainting_or_lookahead.,yes,195
crawler,https://www.tradingview.com/pine-script-docs/concepts/strategies/,official_doc,backtest_realism, User-defined functions Objects Enums Methods Arrays Matrices Maps Visuals Overview Backgrounds Bar coloring Bar plotting Colors Fills Levels Lines and boxes Plots Tables Text and shapes Concepts Alerts Bar states Chart information Inputs Libraries Non-standard charts data Other timeframes and data Repainting Sessions Strategies Strings Time Timefr,Automated crawler found keyword evidence for backtest_realism.,yes,222
crawler,https://www.tradingview.com/pine-script-docs/concepts/other-timeframes-and-data/,official_doc,repainting_or_lookahead, User-defined functions Objects Enums Methods Arrays Matrices Maps Visuals Overview Backgrounds Bar coloring Bar plotting Colors Fills Levels Lines and boxes Plots Tables Text and shapes Concepts Alerts Bar states Chart information Inputs Libraries Non-standard charts data Other timeframes and data Repainting Sessions Strategies Strings Time Timefr,Automated crawler found keyword evidence for repainting_or_lookahead.,yes,373
crawler,https://www.tradingview.com/support/solutions/43000529348-how-to-configure-webhook-alerts/,official_doc,alert_or_webhook_workflow,"How to configure webhook alerts — TradingView Search EN Get started How to configure webhook alerts A TradingView webhook notifies your external app when an alert is triggered. Instead of manually checking charts, we can automatically send data via an HTTP POST request to a URL you provide. This feature can be enabled when you create or edit an ale",Automated crawler found keyword evidence for alert_or_webhook_workflow.,yes,31
crawler,https://www.tradingview.com/support/solutions/43000520149-introduction-to-tradingview-alerts/,official_doc,alert_or_webhook_workflow,"mobile app to get notified on your phone Toast notification: When enabled, a pop-up message will appear even if you are browsing in another tab. For this feature to work correctly, allow TradingView to show desktop notifications Email: Alerts are sent to the email address from your profile settings Webhook URL : Sends a POST request to a certain UR",Automated crawler found keyword evidence for alert_or_webhook_workflow.,yes,72
crawler,https://www.tradingview.com/support/solutions/43000690941-how-to-get-more-active-alerts-per-subscription/,official_doc,alert_or_webhook_workflow,"How to get more active alerts per subscription — TradingView Search EN Get started How to get more active alerts per subscription At the moment, the current limits are as follows: Premium Plan : 800 active alerts (400 price alerts + 400 technical alerts). Ultimate Plan : 2000 active alerts (1000 price alerts + 1000 technical alerts). The lower plan",Automated crawler found keyword evidence for alert_or_webhook_workflow.,yes,11
crawler,https://www.tradingview.com/support/solutions/43000742436-tradingview-pine-screener-key-features-and-requirements/,official_doc,alert_or_webhook_workflow," default 1-day time interval Studies settings and time intervals can be changed in the indicator dropdown. When the selected indicator is loaded, the following conditions are applied: The first ten plots are added for subsequent filter configuration These plots are added to the table as columns Two alert conditions from the script are added The opt",Automated crawler found keyword evidence for alert_or_webhook_workflow.,yes,6
crawler,https://www.tradingview.com/pricing/,pricing,alert_or_webhook_workflow,r indicators 100K+ community-powered indicators Indicator on indicator 1 1 9 24 49 Indicators per chart 2 5 10 25 50 Financials per chart 1 4 7 10 25 Custom indicator templates 1 110+ smart drawing tools Volume Profile indicators Time Price Opportunities Volume footprint Volume candles Pine Script® Backtesting for trading strategies Export strategy,Automated crawler found keyword evidence for alert_or_webhook_workflow.,yes,74
crawler,https://www.tradingview.com/scripts/non-repaint/,marketplace_listing,repainting_or_lookahead,"Non-repaint — Indicators and Strategies — TradingView Search EN Get started All types All types Open-source only Most recent Most popular Tema RSI Return + Trend + Impulse Filter TEMA 9 RSI Return + Trend & Impulse Filter This indicator combines Triple EMA momentum, RSI-style normalization, slope confirmation, and ATR-based impulse filtering to pro",Automated crawler found keyword evidence for repainting_or_lookahead.,yes,38
crawler,https://www.tradingview.com/scripts/backtest/,marketplace_listing,backtest_realism,"two date windows side by side, each showing average R and trade count per side, plus an automatic verdict. 3. The entry signal — how it is calculated 3.1 The breakout channel The rails are the highest high and lowest low of the last N bars (default 20), measured up to the previous bar so they never repaint: upBreak = highest(high, 20) of the prior ",Automated crawler found keyword evidence for backtest_realism.,yes,245
